label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,358,3169,191,119,450,0,0,0,476,1372519156,3411321
unknown,160.217.124.202,460,3514,281,119,315,0,0,0,488,1215055522,3499296
unknown,160.217.124.202,372,2811,144,119,360,0,0,0,505,1323866466,3586191
unknown,160.217.124.202,337,2643,131,119,270,0,0,0,509,1269480219,3676506
unknown,160.217.124.202,363,3199,236,119,405,0,0,0,602,1541561089,3767316
unknown,160.217.124.202,353,2804,132,119,315,0,0,0,422,1192963624,3857721
unknown,160.217.124.202,374,2705,111,119,315,0,0,0,601,1267129322,3945246
unknown,160.217.124.202,292,2672,96,119,270,0,0,0,434,1217835970,4028766
unknown,160.217.124.202,225,2193,67,119,360,0,0,0,528,1629422037,4129296
unknown,160.217.124.202,256,2058,114,119,322,0,0,0,558,1705067867,4240709
unknown,160.217.124.202,222,2919,285,119,315,0,0,0,642,2238461834,4342281
unknown,160.217.124.202,192,2160,68,119,270,0,0,0,399,1192073699,4450461
unknown,160.217.124.202,188,2224,121,119,232,0,0,0,500,1512034371,4566734
unknown,160.217.124.202,238,2154,124,119,270,0,0,0,417,1273192118,4669521
unknown,160.217.124.202,238,2498,72,119,360,0,0,0,501,1130991448,4755651
unknown,160.217.124.202,242,2479,194,119,360,0,0,0,528,1445367321,4847181
unknown,160.217.124.202,222,2641,169,119,315,0,0,0,581,1390267250,4955861
unknown,160.217.124.202,214,2317,174,119,225,0,0,0,641,1775460594,5062016
unknown,160.217.124.202,253,2665,148,119,277,0,0,0,599,1551586927,5174329
unknown,160.217.124.202,260,2638,118,119,270,0,0,0,511,1384808182,5273561
unknown,160.217.124.202,173,2496,109,119,225,0,0,0,414,1213324182,5362571
unknown,160.217.124.202,211,1564,74,101,45,0,0,0,62,1748721757,5401901
unknown,160.217.124.202,186,1454,97,101,62,0,0,0,62,1748721757,5429025
unknown,160.217.124.202,211,2280,100,101,135,0,0,0,335,1061067491,5494167
unknown,160.217.124.202,225,2846,105,101,270,0,0,0,383,1141068425,5582862
unknown,160.217.124.202,257,2351,83,101,232,0,0,0,443,1413739310,5677490
unknown,160.217.124.202,275,2307,107,101,225,0,0,0,405,1194600056,5758362
unknown,160.217.124.202,281,2733,138,101,270,0,0,0,349,958045579,5817948
unknown,160.217.124.202,321,3044,228,101,405,0,0,0,610,1905930062,5903043
unknown,160.217.124.202,782,6999,620,101,585,0,0,0,741,1521424566,6001908
unknown,160.217.124.202,250,2182,95,101,315,0,0,0,409,1334209901,6099648
unknown,160.217.124.202,321,2526,143,101,315,0,0,0,441,1387988126,6186498
unknown,160.217.124.202,351,3744,356,101,495,0,0,0,766,2161042241,6276588
unknown,160.217.124.202,206,2418,383,101,348,0,0,0,444,1471674535,6372990
unknown,160.217.124.202,532,3533,348,101,495,0,0,0,635,1523115021,6485208
unknown,160.217.124.202,268,3321,173,101,360,0,0,0,611,1508253326,6575748
unknown,160.217.124.202,291,2728,126,101,270,0,0,0,502,1220979193,6670788
unknown,160.217.124.202,197,2090,163,101,270,0,0,0,458,1427177009,6756648
unknown,160.217.124.202,181,1917,106,101,261,0,0,0,424,1532183326,6863532
unknown,160.217.124.202,209,2711,136,101,315,0,0,0,574,1307602756,6956718
unknown,160.217.124.202,209,2238,71,101,270,0,0,0,426,1479550463,7052658
unknown,160.217.124.202,206,2236,39,101,270,0,0,0,428,1315503655,7146033
unknown,160.217.124.202,193,2776,135,101,315,0,0,0,531,1378384661,7245573
unknown,160.217.124.202,418,4618,295,101,568,0,0,0,675,1493250028,7334240
unknown,160.217.124.202,169,3407,444,101,360,0,0,0,546,1286736708,7425483
unknown,160.217.124.202,252,2298,107,101,360,0,0,0,422,1599506589,7520568
unknown,160.217.124.202,317,2977,137,101,360,0,0,0,478,1311146372,7611873
unknown,160.217.124.202,345,3247,129,101,360,0,0,0,512,1524912046,7701918
unknown,160.217.124.202,404,3403,177,101,495,0,0,0,528,1515558826,7798308
unknown,160.217.124.202,308,2798,151,101,405,0,0,0,423,1290168051,7888173
unknown,160.217.124.202,465,2945,223,101,405,0,0,0,448,1273192118,7985013
unknown,160.217.124.202,360,3158,153,101,457,0,0,0,622,1756416884,8070191
unknown,160.217.124.202,418,2826,176,101,360,0,0,0,449,1266526234,8168568
unknown,160.217.124.202,387,3145,226,101,495,0,0,0,579,1853689666,8253933
unknown,160.217.124.202,356,2745,73,101,270,0,0,0,389,1110795200,8339073
unknown,160.217.124.202,243,2116,88,101,360,0,0,0,451,1526433384,8433978
unknown,160.217.124.202,244,2207,49,101,360,0,0,0,461,1654622297,8534598
unknown,160.217.124.202,430,4058,294,101,540,0,0,0,721,2238903325,8633283
unknown,160.217.124.202,330,2344,113,101,450,0,0,0,563,2158273670,8738313
unknown,160.217.124.202,260,3117,88,101,315,0,0,0,426,1307602756,8832948
unknown,160.217.124.202,239,2248,220,101,225,0,0,0,457,1217139640,8912058
unknown,160.217.124.202,262,2354,115,101,270,0,0,0,472,1477291653,9002013
unknown,160.217.124.202,267,2258,101,101,450,0,0,0,460,1843097203,9092193
unknown,160.217.124.202,241,2185,194,101,315,0,0,0,477,1442261009,9194253
unknown,160.217.124.202,388,2991,192,101,315,0,0,0,511,1164255891,9275028
unknown,160.217.124.202,325,2891,160,101,270,0,0,0,360,953997499,9351033
unknown,160.217.124.202,338,2809,86,101,270,0,0,0,384,1057514775,9433878
unknown,160.217.124.202,254,2672,87,101,340,0,0,0,512,1941724451,9529118
unknown,160.217.124.202,290,2391,224,101,270,0,0,0,459,1377403609,9624903
unknown,160.217.124.202,231,2786,133,101,315,0,0,0,471,1198615518,9716748
unknown,160.217.124.202,174,2345,263,101,305,0,0,0,559,1534772357,9814993
unknown,160.217.124.202,422,3136,222,101,360,0,0,0,586,1253401581,9904173
unknown,160.217.124.202,320,2774,125,101,225,0,0,0,365,1012161138,9980673
unknown,160.217.124.202,204,1660,64,101,65,0,0,0,65,1833572112,10022328
unknown,160.217.124.202,175,1561,81,101,45,0,0,0,65,1833572112,10049433
unknown,160.217.124.202,241,2698,263,101,225,0,0,0,412,1294482996,10111240
unknown,160.217.124.202,377,3062,91,101,270,0,0,0,368,1012631894,10190575
