label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,89.88.89.114,47959,381632,1797,43241,1569,0,0,0,1570,57186651,65000
unknown,89.88.89.114,44026,367860,8409,43241,1565,0,0,0,1578,59629920,68290
unknown,89.88.89.114,43303,364376,5040,43241,1543,0,0,0,1582,60352673,71467
unknown,89.88.89.114,43990,380620,3983,43241,1581,0,0,0,1589,58032607,74669
unknown,89.88.89.114,43982,383607,4781,43241,1575,0,0,0,1597,57870626,77825
unknown,89.88.89.114,55300,420684,15419,43241,1483,0,0,0,1601,52902370,80472
unknown,89.88.89.114,47588,382309,1497,43241,1411,0,0,0,1607,58430708,83698
unknown,89.88.89.114,47935,384034,944,43241,1550,0,0,0,1613,58385430,86979
unknown,89.88.89.114,43876,365735,7437,43241,1539,0,0,0,1619,61534704,90412
unknown,89.88.89.114,43902,362413,5648,43241,1620,0,0,0,1624,62290533,93665
unknown,89.88.89.114,47814,375783,5504,42612,1609,0,0,0,1629,60259253,97046
unknown,89.88.89.114,48016,429183,5091,42229,1620,0,0,0,1634,52923594,100325
unknown,89.88.89.114,54545,429536,7436,42229,1254,0,0,0,1639,53041913,103427
unknown,89.88.89.114,47642,377533,3909,42229,1479,0,0,0,1643,60495412,106492
unknown,89.88.89.114,47712,371896,5313,42229,1588,0,0,0,1649,61636638,109983
unknown,89.88.89.114,44027,380941,6171,42229,1633,0,0,0,1655,60392092,113407
unknown,89.88.89.114,47805,374209,4949,42229,1620,0,0,0,1658,61589984,116750
unknown,89.88.89.114,43940,366049,6281,42229,1521,0,0,0,1663,63152830,120401
unknown,89.88.89.114,44335,371867,6977,42229,1633,0,0,0,1667,62314304,123892
unknown,89.88.89.114,44011,370709,3719,42229,1670,0,0,0,1670,62621452,127270
unknown,89.88.89.114,44680,383324,4610,42229,1673,0,0,0,1674,60705667,130732
unknown,89.88.89.114,43973,389949,4342,42229,1665,0,0,0,1678,59816905,134165
unknown,89.88.89.114,44566,429442,2490,42229,981,0,0,0,1681,54413040,137540
unknown,89.88.89.114,49788,382358,7846,42229,1636,0,0,0,1685,61258945,140221
unknown,89.88.89.114,43830,385863,5100,42229,1685,0,0,0,1688,60810573,143591
unknown,89.88.89.114,47954,384409,3649,42229,1685,0,0,0,1691,61149069,147101
unknown,89.88.89.114,47676,373422,4581,42229,1572,0,0,0,1694,63059903,150770
unknown,89.88.89.114,47970,377715,3299,42229,1665,0,0,0,1697,62453589,154325
unknown,89.88.89.114,47170,386349,5994,42229,1661,0,0,0,1699,61129857,157745
unknown,89.88.89.114,51995,412612,4769,42229,1387,0,0,0,1703,57373664,160492
unknown,89.88.89.114,47928,390488,9752,42229,1102,0,0,0,1195,42540247,163061
unknown,89.88.89.114,47841,369428,8113,42229,1145,0,0,0,1204,45303992,165450
unknown,89.88.89.114,44011,365481,5863,42229,1185,0,0,0,1213,46135559,167810
unknown,89.88.89.114,43771,365308,6071,42229,1214,0,0,0,1221,46461826,170332
unknown,89.88.89.114,43956,374553,3327,42229,1216,0,0,0,1230,45649037,172863
unknown,89.88.89.114,43865,383436,9519,42229,1228,0,0,0,1238,44881519,175372
unknown,89.88.89.114,51916,426437,9272,42229,1232,0,0,0,1246,40616543,177798
unknown,89.88.89.114,44034,403232,7412,42229,1225,0,0,0,1254,43229711,180354
unknown,89.88.89.114,51530,398041,7958,42229,1241,0,0,0,1261,44037947,182993
unknown,89.88.89.114,44258,417794,11064,42229,1261,0,0,0,1269,42222040,185582
unknown,89.88.89.114,43763,367680,10136,42229,1255,0,0,0,1274,48165848,187270
unknown,89.88.89.114,43856,390064,10106,42229,1257,0,0,0,1281,45651290,189878
unknown,89.88.89.114,43780,374062,5623,42229,1253,0,0,0,1289,47901500,192523
unknown,89.88.89.114,47965,389631,7603,42229,1295,0,0,0,1295,46201498,195124
unknown,89.88.89.114,50662,442344,2736,42229,1291,0,0,0,1303,40947186,197701
unknown,89.88.89.114,50793,408086,142,42229,1540,13,13,893,913,52457648,199837
unknown,89.88.89.114,51525,385859,4447,42229,894,0,0,0,919,33107521,201625
unknown,89.88.89.114,47426,387317,6660,42229,770,0,0,0,926,33234122,203549
unknown,89.88.89.114,43934,376385,2295,42229,913,0,0,0,933,34457925,205432
unknown,89.88.89.114,43993,376867,11225,42229,935,0,0,0,940,34672051,207413
unknown,89.88.89.114,47732,385353,2962,42229,945,0,0,0,947,34161035,209338
unknown,89.88.89.114,47886,382202,666,42229,942,0,0,0,953,34660892,211163
unknown,89.88.89.114,51385,399553,6442,42229,959,0,0,0,959,33364452,213140
unknown,89.88.89.114,47809,411684,9270,42081,965,0,0,0,965,32583904,215097
unknown,89.88.89.114,47633,388063,8656,42081,933,0,0,0,970,34746358,217225
unknown,89.88.89.114,51368,411652,1036,42081,675,0,0,0,977,32991657,218944
unknown,89.88.89.114,43990,376620,3026,42081,967,0,0,0,982,36244983,220543
unknown,89.88.89.114,43797,367906,3744,42081,973,0,0,0,987,37292377,222607
