label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,410,3762,221,120,450,0,0,0,470,1736676236,2449304
unknown,160.217.124.202,509,5376,370,120,630,0,0,0,634,1639342857,2539934
unknown,160.217.124.202,545,4491,162,120,495,0,0,0,510,1578581162,2626649
unknown,160.217.124.202,343,5407,169,120,675,0,0,0,675,1735350471,2723984
unknown,160.217.124.202,449,3994,183,120,495,0,0,0,500,1740210315,2817854
unknown,160.217.124.202,336,4536,438,120,360,0,0,0,388,1189045502,2885534
unknown,160.217.124.202,513,5807,353,120,495,0,0,0,535,1280683313,2953259
unknown,160.217.124.202,346,3526,72,120,405,0,0,0,412,1624256834,3024944
unknown,160.217.124.202,674,5112,120,120,585,0,0,0,598,1626110798,3119084
unknown,160.217.124.202,732,6470,465,120,708,0,0,0,735,1579148068,3210401
unknown,160.217.124.202,529,3529,364,120,261,0,0,0,261,1028084103,3284573
unknown,160.217.124.202,323,4261,170,120,405,0,0,0,440,1435426425,3347144
unknown,160.217.124.202,853,6968,481,120,573,0,0,0,598,1192979104,3429596
unknown,160.217.124.202,413,5046,191,120,675,0,0,0,714,1966938406,3505184
unknown,160.217.124.202,309,4939,375,120,517,0,0,0,517,1455094877,3588839
unknown,160.217.124.202,424,4479,133,120,360,0,0,0,386,1197970261,3652154
unknown,160.217.124.202,453,6217,824,120,521,0,0,0,540,1207404214,3723633
unknown,160.217.124.202,691,6194,521,120,663,0,0,0,665,1492417177,3798866
unknown,160.217.124.202,710,6802,606,120,753,0,0,0,779,1591991061,3881306
unknown,160.217.124.202,650,6157,408,120,855,0,0,0,888,2004857950,3971744
unknown,160.217.124.202,437,6329,610,120,540,0,0,0,581,1276088607,4053509
unknown,160.217.124.202,769,5612,380,120,675,0,0,0,703,1741315466,4132124
unknown,160.217.124.202,594,5366,288,120,450,0,0,0,492,1274542228,4216184
unknown,160.217.124.202,621,5022,230,120,630,0,0,0,638,1765971804,4298489
unknown,160.217.124.202,678,5014,323,120,425,0,0,0,425,1178268847,4381803
unknown,160.217.124.202,409,3240,82,120,315,0,0,0,340,1458725925,4447844
unknown,160.217.124.202,604,4342,332,120,495,0,0,0,524,1677572362,4527404
unknown,160.217.124.202,271,3623,225,120,345,0,0,0,353,1354397571,4615289
unknown,160.217.124.202,633,5505,231,120,495,0,0,0,503,1270136675,4679594
unknown,160.217.124.202,799,7323,564,120,592,0,0,0,627,1190195493,4749382
unknown,160.217.124.202,886,7127,374,120,720,0,0,0,737,1437475740,4824809
unknown,160.217.124.202,404,6850,1040,120,420,0,0,0,420,852311824,4905956
unknown,160.217.124.202,1173,7692,833,120,540,0,0,0,560,1012018720,4974768
unknown,160.217.124.202,859,7136,646,120,639,0,0,0,674,1312939910,5044644
unknown,160.217.124.202,571,5448,430,120,471,0,0,0,486,1240049339,5107002
unknown,160.217.124.202,994,7563,473,120,594,0,0,0,614,1128532487,5177529
unknown,160.217.124.202,1098,7165,667,120,720,0,0,0,724,1404630732,5250933
unknown,160.217.124.202,438,3698,114,120,405,0,0,0,436,1638926122,5339718
unknown,160.217.124.202,1152,6987,1084,120,564,0,0,0,607,1207640704,5429244
unknown,160.217.124.202,737,6773,435,120,720,0,0,0,720,1477716816,5504180
unknown,160.217.124.202,450,4119,102,120,495,0,0,0,503,1697524253,5595890
unknown,160.217.124.202,621,7401,534,120,630,0,0,0,642,1205825374,5675407
unknown,160.217.124.202,850,6946,343,120,727,0,0,0,755,1510956521,5754383
unknown,160.217.124.202,463,4262,309,120,457,0,0,0,463,1510105678,5844062
unknown,160.217.124.202,457,3642,201,120,315,0,0,0,345,1316797364,5930756
unknown,160.217.124.202,582,4439,64,120,540,0,0,0,551,1725465375,6022721
unknown,160.217.124.202,353,3392,242,120,405,0,0,0,414,1696618867,6117401
unknown,160.217.124.202,438,3332,119,120,360,0,0,0,371,1547778151,6211406
unknown,160.217.124.202,586,4380,175,120,547,0,0,0,570,1809008219,6305224
unknown,160.217.124.202,601,5079,190,120,438,0,0,0,443,1212454105,6373868
unknown,160.217.124.202,954,6833,766,120,552,0,0,0,574,1167724162,6440219
unknown,160.217.124.202,635,4798,366,120,405,0,0,0,425,1231313047,6501656
