label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,560,4211,196,156,186,0,0,0,186,613998765,878445
unknown,160.217.124.202,587,4158,356,156,188,0,0,0,188,628511399,910168
unknown,160.217.124.202,581,3855,365,156,190,0,0,0,190,685123735,943517
unknown,160.217.124.202,629,4374,266,156,191,0,0,0,191,607007956,972589
unknown,160.217.124.202,585,4077,332,156,193,0,0,0,193,658046210,1008818
unknown,160.217.124.202,596,4091,310,156,195,0,0,0,195,662590075,1041312
unknown,160.217.124.202,578,4084,295,156,196,0,0,0,196,667129480,1072994
unknown,160.217.124.202,365,3487,484,144,198,0,0,0,198,789319873,1106487
unknown,160.217.124.202,478,3306,277,144,200,0,0,0,200,840943738,1142662
unknown,160.217.124.202,341,2554,160,144,90,0,0,0,101,549718402,1179837
unknown,160.217.124.202,302,2577,153,144,90,0,0,0,105,566388824,1207872
unknown,160.217.124.202,286,2655,271,144,108,0,0,0,108,565456271,1234125
unknown,160.217.124.202,222,2875,339,144,90,0,0,0,111,536691756,1259487
unknown,160.217.124.202,414,2921,335,144,90,0,0,0,114,542516672,1284867
unknown,160.217.124.202,387,2858,269,144,118,0,0,0,118,573930860,1311051
unknown,160.217.124.202,185,2887,316,144,121,0,0,0,121,582610599,1336392
unknown,160.217.124.202,521,2966,488,144,124,0,0,0,124,581152798,1363505
unknown,160.217.124.202,492,2798,510,144,127,0,0,0,127,630951250,1388036
unknown,160.217.124.202,477,2794,555,139,131,0,0,0,131,651755476,1416014
unknown,160.217.124.202,478,2740,610,132,134,0,0,0,134,679820145,1442344
unknown,160.217.124.202,384,3163,182,132,135,0,0,0,137,602089661,1471302
unknown,160.217.124.202,460,3112,281,132,140,0,0,0,140,625357326,1503037
unknown,160.217.124.202,215,3034,236,132,135,0,0,0,144,659761107,1535517
unknown,160.217.124.202,234,3108,302,132,135,0,0,0,146,652997683,1566297
unknown,160.217.124.202,473,3568,349,126,150,0,0,0,150,584394618,1600752
unknown,160.217.124.202,311,3254,494,126,153,0,0,0,153,653602458,1633347
unknown,160.217.124.202,500,3314,339,126,156,0,0,0,156,654352685,1665903
unknown,160.217.124.202,437,3388,233,126,154,0,0,0,158,648266351,1695923
unknown,160.217.124.202,259,3103,342,126,142,0,0,0,161,721246793,1729332
unknown,160.217.124.202,482,3315,259,126,164,0,0,0,164,687701719,1761009
unknown,160.217.124.202,524,3142,496,126,166,0,0,0,166,734415276,1795364
unknown,160.217.124.202,394,3203,290,126,147,0,0,0,169,733448392,1827882
unknown,160.217.124.202,472,3580,262,126,171,0,0,0,171,663976759,1860579
unknown,160.217.124.202,329,3562,344,126,174,0,0,0,174,679039640,1893126
unknown,160.217.124.202,528,3239,457,126,176,0,0,0,176,755338314,1925655
unknown,160.217.124.202,525,3144,562,125,178,0,0,0,178,787004580,1956570
unknown,160.217.124.202,511,3930,111,125,180,0,0,0,180,636677862,1989117
unknown,160.217.124.202,479,3402,264,125,180,0,0,0,182,743664197,2025207
unknown,160.217.124.202,595,3841,322,125,185,0,0,0,185,669525644,2062387
unknown,160.217.124.202,365,3541,237,125,187,0,0,0,187,734100423,2096764
unknown,160.217.124.202,564,3853,310,125,189,0,0,0,189,681871580,2131290
unknown,160.217.124.202,508,3743,303,125,191,0,0,0,191,709338177,2168408
unknown,160.217.124.202,227,2493,110,125,90,0,0,0,96,535289530,2205342
unknown,160.217.124.202,372,2795,197,125,90,0,0,0,100,497345259,2231712
unknown,160.217.124.202,268,2519,241,125,90,0,0,0,104,573911552,2258847
unknown,160.217.124.202,294,2667,269,125,108,0,0,0,108,562912035,2285955
unknown,160.217.124.202,346,2750,185,125,90,0,0,0,111,561086836,2312217
unknown,160.217.124.202,240,2817,273,125,115,0,0,0,115,567480298,2339352
unknown,160.217.124.202,426,2943,265,125,119,0,0,0,119,562077879,2366545
unknown,160.217.124.202,461,2912,348,125,122,0,0,0,122,582382417,2393705
unknown,160.217.124.202,189,2750,364,125,117,0,0,0,126,636909381,2420847
unknown,160.217.124.202,220,2818,225,125,129,0,0,0,129,636338963,2448882
unknown,160.217.124.202,484,2670,542,125,133,0,0,0,133,692436853,2477856
unknown,160.217.124.202,353,3048,109,125,136,0,0,0,136,620245669,2508689
unknown,160.217.124.202,235,2746,198,125,135,0,0,0,140,708707938,2543022
unknown,160.217.124.202,250,2763,249,125,144,0,0,0,144,724471661,2578302
unknown,160.217.124.202,210,2849,347,125,135,0,0,0,147,717240294,2612682
unknown,160.217.124.202,405,2946,295,125,135,0,0,0,150,707780040,2649042
unknown,160.217.124.202,299,2977,258,125,147,0,0,0,154,719087403,2685177
unknown,160.217.124.202,352,3320,415,125,156,0,0,0,156,653170120,2717778
unknown,160.217.124.202,203,2749,281,125,140,0,0,0,160,809068024,2755737
unknown,160.217.124.202,182,2849,383,125,146,0,0,0,163,795307265,2790207
unknown,160.217.124.202,317,3222,570,125,166,0,0,0,166,716180260,2827242
unknown,160.217.124.202,419,2935,393,125,135,0,0,0,169,800420851,2865312
unknown,160.217.124.202,299,3070,287,125,171,0,0,0,171,774279087,2899728
unknown,160.217.124.202,221,2696,476,125,140,0,0,0,174,897158456,2934927
unknown,160.217.124.202,495,2944,444,125,176,0,0,0,176,831026086,2970318
unknown,160.217.124.202,500,3030,466,125,178,0,0,0,178,816614653,3003861
unknown,160.217.124.202,451,3033,239,125,180,0,0,0,181,829556478,3041892
unknown,160.217.124.202,424,3170,166,125,183,0,0,0,183,802475205,3084339
unknown,160.217.124.202,389,3224,232,125,180,0,0,0,186,801969230,3125997
unknown,160.217.124.202,488,3422,246,125,188,0,0,0,188,763690940,3166693
unknown,160.217.124.202,410,3065,266,125,180,0,0,0,191,866248874,3209382
unknown,160.217.124.202,392,3010,209,125,180,0,0,0,193,891313754,3250062
unknown,160.217.124.202,493,3475,293,125,195,0,0,0,195,780044892,3289782
unknown,160.217.124.202,380,3019,197,125,180,0,0,0,198,911678834,3333357
unknown,160.217.124.202,200,3089,373,125,180,0,0,0,200,900019423,3372147
unknown,160.217.124.202,395,3133,231,125,202,0,0,0,202,896253303,3414739
unknown,160.217.124.202,272,3153,252,125,186,0,0,0,204,899385727,3457377
unknown,160.217.124.202,424,3140,200,125,206,0,0,0,206,911963312,3498118
unknown,160.217.124.202,319,3649,546,125,208,0,0,0,208,792372266,3539637
unknown,160.217.124.202,559,3301,312,125,180,0,0,0,211,888539472,3581307
unknown,160.217.124.202,484,3375,346,125,213,0,0,0,213,877294933,3624855
unknown,160.217.124.202,435,3273,228,125,215,0,0,0,215,913129239,3667237
unknown,160.217.124.202,389,3197,189,125,187,0,0,0,217,943532561,3710772
unknown,160.217.124.202,543,3509,334,125,219,0,0,0,219,867562040,3753327
unknown,160.217.124.202,349,3263,273,125,180,0,0,0,221,941488446,3794922
unknown,160.217.124.202,519,3117,503,125,223,0,0,0,223,994507025,3837527
unknown,160.217.124.202,304,3316,297,125,226,0,0,0,226,947400723,3883617
unknown,160.217.124.202,349,3504,211,125,228,0,0,0,228,904504109,3930786
unknown,160.217.124.202,467,3858,353,125,229,0,0,0,229,825112286,3934429
unknown,160.217.124.202,464,3759,236,125,225,0,0,0,233,861635115,4029642
unknown,160.217.124.202,426,3515,243,125,236,0,0,0,236,933311180,4078343
unknown,160.217.124.202,278,3198,228,125,238,0,0,0,238,1034518574,4127292
unknown,160.217.124.202,328,3201,275,125,225,0,0,0,241,1046576944,4178907
unknown,160.217.124.202,405,3342,199,125,244,0,0,0,244,1014899820,4228606
unknown,160.217.124.202,426,3469,295,125,246,0,0,0,246,985758662,4277343
unknown,160.217.124.202,464,4387,340,125,225,0,0,0,248,785821381,4321692
unknown,160.217.124.202,416,2626,238,125,126,0,0,0,126,666984310,4350663
unknown,160.217.124.202,386,2523,294,125,90,0,0,0,130,716252080,4379742
unknown,160.217.124.202,443,2961,240,125,133,0,0,0,133,624385815,4409492
unknown,160.217.124.202,304,3193,311,125,137,0,0,0,137,596432696,4443104
unknown,160.217.124.202,348,3057,235,125,135,0,0,0,141,641155642,4477482
unknown,160.217.124.202,229,2789,258,125,144,0,0,0,144,717717891,4512807
unknown,160.217.124.202,429,3077,267,125,135,0,0,0,147,664094117,4549032
unknown,160.217.124.202,288,3055,235,125,135,0,0,0,150,682527004,4583322
unknown,160.217.124.202,449,3052,307,125,153,0,0,0,153,696861861,4618638
unknown,160.217.124.202,271,2668,172,125,156,0,0,0,156,812790404,4653138
unknown,160.217.124.202,598,3733,331,125,159,0,0,0,159,592078006,4686489
unknown,160.217.124.202,305,2772,243,125,144,0,0,0,162,812384415,4722687
unknown,160.217.124.202,227,2919,351,125,161,0,0,0,164,780997327,4757112
unknown,160.217.124.202,410,3012,266,125,135,0,0,0,167,770728286,4795227
unknown,160.217.124.202,178,2701,294,125,160,0,0,0,170,874911514,4832307
unknown,160.217.124.202,242,2731,221,121,137,0,0,0,173,880570633,4871142
unknown,160.217.124.202,186,2573,361,121,155,0,0,0,175,945448892,4908267
unknown,160.217.124.202,192,2439,511,121,164,0,0,0,178,1014490528,4947327
unknown,160.217.124.202,245,2971,93,121,181,0,0,0,181,846867990,4988817
unknown,160.217.124.202,249,3069,324,121,184,0,0,0,184,833413880,5033187
unknown,160.217.124.202,207,2776,292,121,180,0,0,0,186,931393659,5074812
unknown,160.217.124.202,208,3059,261,121,189,0,0,0,189,858859496,5116437
unknown,160.217.124.202,507,3383,298,121,191,0,0,0,191,784821992,5157274
unknown,160.217.124.202,304,3080,336,121,180,0,0,0,194,875569870,5199912
unknown,160.217.124.202,326,3541,354,121,196,0,0,0,196,769431460,5239708
unknown,160.217.124.202,497,3193,320,121,198,0,0,0,198,861997619,5283018
unknown,160.217.124.202,546,3777,293,121,200,0,0,0,200,736076250,5318437
unknown,160.217.124.202,467,3575,237,121,202,0,0,0,202,785443804,5357299
unknown,160.217.124.202,511,3757,237,121,204,0,0,0,204,754794570,5395329
unknown,160.217.124.202,943,4317,917,121,206,0,0,0,206,663322863,5433308
unknown,160.217.124.202,510,3481,295,121,208,0,0,0,208,830613731,5470373
unknown,160.217.124.202,315,3544,468,121,210,0,0,0,210,823693002,5507517
unknown,160.217.124.202,570,3389,514,121,211,0,0,0,211,865467335,5540984
unknown,160.217.124.202,566,3353,524,121,213,0,0,0,213,883051118,5581758
unknown,160.217.124.202,508,3722,267,121,215,0,0,0,215,802974744,5617057
unknown,160.217.124.202,573,3807,360,121,216,0,0,0,216,788697872,5655087
unknown,160.217.124.202,533,3914,338,121,218,0,0,0,218,774239754,5692249
unknown,160.217.124.202,523,4426,703,121,220,0,0,0,220,690957071,5727442
unknown,160.217.124.202,524,3558,1128,121,221,0,0,0,221,863427993,5760248
unknown,160.217.124.202,587,4680,672,121,222,0,0,0,222,659396923,5791884
unknown,160.217.124.202,416,3504,830,121,112,0,0,0,112,444317808,5813442
unknown,160.217.124.202,515,3780,928,121,114,0,0,0,114,419230476,5833356
unknown,160.217.124.202,421,3699,595,121,90,0,0,0,116,435926682,5851467
unknown,160.217.124.202,625,3779,789,121,119,0,0,0,119,437733580,5871386
unknown,160.217.124.202,516,3772,889,121,121,0,0,0,121,445916436,5889523
unknown,160.217.124.202,578,3875,557,121,123,0,0,0,123,441238296,5908524
unknown,160.217.124.202,372,3565,612,121,90,0,0,0,126,491304572,5929317
unknown,160.217.124.202,167,3223,777,121,128,0,0,0,128,552064039,5949342
unknown,160.217.124.202,450,3553,836,121,130,0,0,0,130,508613566,5966482
unknown,160.217.124.202,606,3574,830,121,132,0,0,0,132,513403917,5987274
unknown,160.217.124.202,387,4319,417,121,135,0,0,0,135,434500578,6008067
unknown,160.217.124.202,466,4204,371,121,138,0,0,0,138,456305994,6033540
unknown,160.217.124.202,563,4763,540,121,140,0,0,0,140,408589544,6054332
unknown,160.217.124.202,705,4410,767,121,143,0,0,0,143,450751564,6080569
unknown,160.217.124.202,286,4439,487,121,145,0,0,0,145,454069835,6103242
unknown,160.217.124.202,654,4587,508,121,147,0,0,0,147,445480183,6123919
unknown,160.217.124.202,651,4331,568,121,149,0,0,0,149,478231170,6148405
unknown,160.217.124.202,733,5067,545,121,151,0,0,0,151,414253167,6170999
unknown,160.217.124.202,747,4700,827,121,153,0,0,0,153,452515404,6193665
unknown,160.217.124.202,713,4671,572,121,155,0,0,0,155,461276814,6217202
unknown,160.217.124.202,316,4669,584,121,157,0,0,0,157,467428914,6240762
unknown,160.217.124.202,288,3260,295,121,159,0,0,0,159,677983803,6265152
unknown,160.217.124.202,405,3334,436,121,161,0,0,0,161,671274385,6297758
unknown,160.217.124.202,385,4454,844,121,146,0,0,0,163,508718096,6323967
unknown,160.217.124.202,322,3529,314,121,165,0,0,0,165,649938226,6346722
unknown,160.217.124.202,483,4081,853,121,167,0,0,0,167,568839402,6377414
unknown,160.217.124.202,487,4741,478,121,169,0,0,0,169,495514701,6404641
unknown,160.217.124.202,191,3452,916,121,171,0,0,0,171,688596987,6430887
unknown,160.217.124.202,196,3421,812,121,166,0,0,0,173,702963577,6456222
unknown,160.217.124.202,448,3812,640,121,174,0,0,0,174,634506610,6481551
unknown,160.217.124.202,446,4090,541,121,176,0,0,0,176,598176234,6510443
unknown,160.217.124.202,492,4333,960,120,178,0,0,0,178,571046018,6538525
unknown,160.217.124.202,300,4101,449,120,180,0,0,0,180,610130212,6564897
unknown,160.217.124.202,311,3498,353,120,180,0,0,0,182,723254888,6597432
unknown,160.217.124.202,245,3504,294,120,185,0,0,0,185,733917808,6635367
unknown,160.217.124.202,321,3695,459,120,180,0,0,0,187,703504627,6673482
unknown,160.217.124.202,531,3588,290,120,189,0,0,0,189,732232775,6710490
unknown,160.217.124.202,250,3303,196,120,191,0,0,0,191,803830699,6747597
unknown,160.217.124.202,531,3574,288,120,193,0,0,0,193,750658757,6787448
unknown,160.217.124.202,539,3696,280,120,195,0,0,0,195,733402597,6826422
unknown,160.217.124.202,540,3724,331,120,198,0,0,0,198,739086573,6867090
unknown,160.217.124.202,502,3547,253,120,199,0,0,0,199,779887003,6903444
unknown,160.217.124.202,491,3374,391,120,201,0,0,0,201,828115234,6939633
unknown,160.217.124.202,538,3567,391,120,203,0,0,0,203,791102439,6979416
unknown,160.217.124.202,317,3386,290,120,205,0,0,0,205,841601890,7016542
unknown,160.217.124.202,362,2722,223,120,90,0,0,0,105,536217487,7049997
unknown,160.217.124.202,371,2599,260,120,90,0,0,0,109,582988534,7077132
unknown,160.217.124.202,371,2940,236,120,90,0,0,0,112,529554285,7105257
unknown,160.217.124.202,344,2780,184,120,90,0,0,0,116,580033381,7133292
unknown,160.217.124.202,297,2852,192,120,120,0,0,0,120,584886395,7161357
unknown,160.217.124.202,187,2810,292,120,111,0,0,0,123,608469181,7188552
