label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,2710,22498,505,311,1950,0,0,0,1967,1215346857,1884630
unknown,160.217.124.202,2746,23114,1105,311,1872,0,0,0,2017,1213027325,1955509
unknown,160.217.124.202,2347,21957,773,311,2068,0,0,0,2068,1309234157,2026532
unknown,160.217.124.202,2434,21554,891,311,1798,0,0,0,1798,1159582369,2095961
unknown,160.217.124.202,2447,21450,795,311,1858,0,0,0,1858,1204087944,2169467
unknown,160.217.124.202,2657,20151,1019,311,1620,0,0,0,1630,1124425785,2241833
unknown,160.217.124.202,2490,20145,463,311,1703,0,0,0,1703,1175133402,2314294
unknown,160.217.124.202,2644,21680,497,311,1769,0,0,0,1769,1134248856,2386839
unknown,160.217.124.202,2278,21991,1033,311,1832,0,0,0,1832,1158031267,2460055
unknown,160.217.124.202,2428,21575,449,311,1892,0,0,0,1892,1219018011,2532477
unknown,160.217.124.202,2169,20237,1036,311,1620,0,0,0,1649,1132698482,2605184
unknown,160.217.124.202,1575,17842,558,311,1440,0,0,0,1479,1152297007,2677398
unknown,160.217.124.202,2353,19036,591,311,1530,0,0,0,1560,1139170413,2748974
unknown,160.217.124.202,1957,16823,1027,311,1260,0,0,0,1301,1075012827,2816560
unknown,160.217.124.202,2066,16337,343,311,1395,0,0,0,1402,1192931480,2885481
unknown,160.217.124.202,1614,19381,1000,311,1485,0,0,0,1490,1068685413,2959238
unknown,160.217.124.202,1730,20584,1132,311,1568,0,0,0,1568,1058902759,3029333
unknown,160.217.124.202,2501,19637,522,311,1630,0,0,0,1641,1161644487,3101197
unknown,160.217.124.202,1749,21076,510,311,1709,0,0,0,1709,1127181021,3171100
unknown,160.217.124.202,2169,20921,842,311,1745,0,0,0,1775,1179385306,3242055
unknown,160.217.124.202,2109,22084,1008,311,1832,0,0,0,1832,1153154573,3311162
unknown,160.217.124.202,2169,22730,767,311,1888,0,0,0,1888,1154628702,3381727
unknown,160.217.124.202,2899,22971,461,311,1939,0,0,0,1943,1175797936,3453372
unknown,160.217.124.202,2921,19654,1025,311,1665,0,0,0,1706,1206612638,3527115
unknown,160.217.124.202,2116,17402,401,311,1758,0,0,0,1778,1420274818,3602205
unknown,160.217.124.202,1784,14376,107,311,1842,0,0,0,1856,1794649749,3682093
unknown,160.217.124.202,2265,18519,390,311,1906,0,0,0,1935,1452456828,3763051
unknown,160.217.124.202,2233,19303,707,311,2008,0,0,0,2008,1446034626,3848705
unknown,160.217.124.202,2104,19065,812,311,1630,0,0,0,2077,1514396097,3934145
unknown,160.217.124.202,1830,17828,212,311,1891,0,0,0,1892,1475225129,4025084
unknown,160.217.124.202,2181,18384,541,311,1940,0,0,0,1969,1488831331,4109750
unknown,160.217.124.202,2219,18612,445,311,2038,0,0,0,2042,1525114635,4196055
unknown,160.217.124.202,2406,18711,589,311,2074,0,0,0,2109,1566820971,4280904
unknown,160.217.124.202,2205,19673,671,311,2073,0,0,0,2174,1536132730,4380314
