label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.166.30,4976,39157,373,547,414,0,0,0,432,148912409,217137
unknown,160.217.166.30,4439,36059,375,547,380,0,0,0,406,151973865,225497
unknown,160.217.166.30,4977,38925,335,547,414,0,0,0,440,152574026,233835
unknown,160.217.166.30,4609,36579,897,547,398,0,0,0,417,153872418,242177
unknown,160.217.166.30,4482,35264,317,547,368,0,0,0,398,152337931,250625
unknown,160.217.166.30,4379,34177,386,547,380,0,0,0,383,151259057,258847
unknown,160.217.166.30,4882,38891,329,547,427,0,0,0,437,151666226,267218
unknown,160.217.166.30,4023,35684,464,547,380,0,0,0,413,156218719,275591
unknown,160.217.166.30,4960,39042,433,547,426,0,0,0,445,153845397,283963
unknown,160.217.166.30,4939,38679,375,547,414,0,0,0,424,147960971,292301
unknown,160.217.166.30,4544,35305,457,547,368,0,0,0,400,152925647,300673
unknown,160.217.166.30,5003,39100,549,547,414,0,0,0,433,149474700,309045
unknown,160.217.166.30,4571,36008,435,547,380,0,0,0,407,152563963,317405
unknown,160.217.166.30,5052,39499,432,547,425,0,0,0,438,149673379,325778
unknown,160.217.166.30,4604,36439,370,547,381,0,0,0,415,153722769,334148
unknown,160.217.166.30,4567,38853,675,547,414,0,0,0,447,155288580,342487
unknown,160.217.166.30,4505,35380,345,547,691,45,45,323,368,252555432,350722
unknown,160.217.166.30,4291,34666,588,547,459,55,55,138,321,167425373,359084
unknown,160.217.166.30,3862,32108,144,547,679,3,3,342,337,277871982,364426
unknown,160.217.166.30,2975,23116,374,547,242,0,0,0,279,162910122,370995
unknown,160.217.166.30,2508,21427,471,547,460,46,46,230,230,268351967,379379
unknown,160.217.166.30,3232,25857,743,547,288,0,0,0,291,151904768,387739
unknown,160.217.166.30,2806,22165,920,547,241,0,0,0,260,158329618,396112
unknown,160.217.166.30,2715,22824,399,547,260,0,0,0,267,157897791,404465
unknown,160.217.166.30,3017,22009,742,547,242,0,0,0,266,163131518,412855
unknown,160.217.166.30,2778,22739,381,547,259,0,0,0,276,163830317,421210
unknown,160.217.166.30,1965,16639,602,547,217,0,0,0,225,182520584,427784
unknown,160.217.166.30,2217,17434,258,547,228,0,0,0,239,185036503,437065
unknown,160.217.166.30,2662,21083,686,547,237,0,0,0,255,163254185,445612
unknown,160.217.166.30,2709,20569,479,547,243,0,0,0,261,171271019,453840
unknown,160.217.166.30,3011,23689,750,547,242,0,0,0,271,154411313,462259
unknown,160.217.166.30,2763,21017,512,547,230,0,0,0,248,159271294,470643
unknown,160.217.166.30,2618,21580,451,547,259,0,0,0,264,165123558,479032
unknown,160.217.166.30,3017,23387,449,547,243,0,0,0,276,159290956,487420
unknown,160.217.166.30,2930,22670,1109,547,230,0,0,0,258,153611857,488353
unknown,160.217.166.30,3918,30604,399,547,322,0,0,0,352,155246216,496725
unknown,160.217.166.30,5785,43143,3296,547,296,0,0,0,330,103242889,505123
unknown,160.217.166.30,4138,33725,691,547,368,0,0,0,382,152886084,513515
unknown,160.217.166.30,4315,34443,448,547,362,0,0,0,371,145388311,521893
unknown,160.217.166.30,4739,36654,499,547,414,0,0,0,417,153557570,530305
unknown,160.217.166.30,4621,36300,548,547,381,0,0,0,412,153195900,538664
unknown,160.217.166.30,4622,36277,469,547,368,0,0,0,411,152920958,547049
unknown,160.217.166.30,4699,36616,458,547,368,0,0,0,406,149662049,555467
unknown,160.217.166.30,4358,34352,374,547,368,0,0,0,399,156775221,563839
unknown,160.217.166.30,4270,35640,814,547,350,0,0,0,393,148837171,572275
unknown,160.217.166.30,4350,34124,473,547,381,0,0,0,387,153076169,580662
unknown,160.217.166.30,4447,34953,916,547,380,0,0,0,391,150990232,589035
unknown,160.217.166.30,4635,34907,616,547,381,0,0,0,404,156215956,597406
unknown,160.217.166.30,4860,39188,224,547,425,0,0,0,444,152927794,601134
unknown,160.217.166.30,3843,30245,324,547,322,0,0,0,334,149055989,604871
unknown,160.217.166.30,4407,34319,556,547,368,0,0,0,400,157319269,613243
unknown,160.217.166.30,3538,28948,783,547,353,0,0,0,355,165526046,621676
unknown,160.217.166.30,3750,30243,322,547,351,0,0,0,358,159777164,630050
unknown,160.217.166.30,4038,30842,530,547,334,0,0,0,362,158424589,637473
unknown,160.217.166.30,2177,19334,1101,547,230,0,0,0,253,176626295,646087
unknown,160.217.166.30,2836,21763,580,547,230,0,0,0,263,163114864,654275
unknown,160.217.166.30,2755,23122,450,547,260,0,0,0,279,162867848,662663
unknown,160.217.166.30,3581,27821,425,547,289,0,0,0,320,155250781,671052
unknown,160.217.166.30,2411,20302,639,547,276,0,0,0,297,197457748,671985
unknown,160.217.166.30,2939,23508,922,547,242,0,0,0,272,156174374,676711
unknown,160.217.166.30,3075,25259,566,547,345,45,45,104,241,168325903,689328
unknown,160.217.166.30,3334,25774,442,547,276,0,0,0,297,155536090,697699
unknown,160.217.166.30,3257,26033,190,547,305,0,0,0,311,161247401,706042
unknown,160.217.166.30,3038,22761,481,547,259,0,0,0,284,168416080,714414
unknown,160.217.166.30,3282,25811,367,547,289,0,0,0,306,160019588,722802
unknown,160.217.166.30,1905,18261,1142,547,230,0,0,0,253,187004698,730405
unknown,160.217.166.30,2917,22728,440,547,230,0,0,0,267,158564730,738777
unknown,160.217.166.30,6454,43802,5758,547,276,0,0,0,281,86590237,746781
unknown,160.217.166.30,3881,30288,521,547,322,0,0,0,348,155083359,755291
unknown,160.217.166.30,3858,30143,335,547,334,0,0,0,344,154038231,763651
unknown,160.217.166.30,3511,29179,354,547,306,0,0,0,334,154501470,771867
unknown,160.217.166.30,3833,29954,371,547,322,0,0,0,332,149602831,780223
unknown,160.217.166.30,3509,28502,382,547,322,0,0,0,326,154382766,788595
unknown,160.217.166.30,4216,29366,1086,547,323,0,0,0,323,148461649,796955
unknown,160.217.166.30,3637,30323,363,547,351,0,0,0,353,157129993,804528
unknown,160.217.166.30,2801,21330,517,547,230,0,0,0,245,155035724,807133
unknown,160.217.166.30,3185,26390,926,547,259,0,0,0,300,153439939,813866
