label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,1154,12373,532,109,1720,0,0,0,4517,5074752574,3167691
unknown,160.217.124.202,1293,12137,220,109,2079,0,0,0,4516,5172284155,3275952
unknown,160.217.124.202,1472,11974,218,109,2167,0,0,0,4516,5242693569,3402585
unknown,160.217.124.202,1123,9769,464,109,1951,0,0,0,4562,6491498577,3525045
unknown,160.217.124.202,1424,11111,654,109,1903,0,0,0,4597,5751235496,3645636
unknown,160.217.124.202,575,8831,728,109,1946,0,0,0,4593,7229801200,3741690
unknown,160.217.124.202,993,8797,629,109,1906,0,0,0,4595,7260904399,3863642
unknown,160.217.124.202,839,8902,969,109,1675,0,0,0,4609,7197122803,3984624
unknown,160.217.124.202,955,8950,596,109,1901,0,0,0,4631,7192693273,4107499
unknown,160.217.124.202,1393,12006,216,109,2082,0,0,0,4645,5378078960,4235348
unknown,160.217.124.202,1239,12010,216,109,2078,0,0,0,4703,5443419017,4359079
unknown,160.217.124.202,975,9553,662,109,724,0,0,0,4748,6908928964,4489487
unknown,160.217.124.202,1317,11817,233,109,1780,0,0,0,4781,5624077583,4610980
unknown,160.217.124.202,1546,13248,595,109,2078,0,0,0,4817,5054359420,4737861
unknown,160.217.124.202,1175,11892,220,109,2080,0,0,0,4842,5659912008,4859336
unknown,160.217.124.202,952,8639,445,109,1959,0,0,0,4870,7836195856,4988805
unknown,160.217.124.202,1571,13922,447,109,2083,0,0,0,4880,4872568883,5109192
unknown,160.217.124.202,1419,12973,282,109,2080,0,0,0,4891,5240793401,5229805
unknown,160.217.124.202,2819,17746,3480,109,2073,0,0,0,4893,3832785664,5348250
unknown,160.217.124.202,1344,12385,175,109,2073,0,0,0,4888,5486242260,5469606
unknown,160.217.124.202,1286,11787,418,109,1949,0,0,0,4882,5757504504,5591153
unknown,160.217.124.202,1826,14201,700,109,2126,0,0,0,4874,4770966776,5709159
unknown,160.217.124.202,1628,12297,361,109,2074,0,0,0,4867,5501764137,5833287
unknown,160.217.124.202,313,9730,644,109,1218,0,0,0,4866,6951828653,5956658
unknown,160.217.124.202,1342,12735,302,109,2078,0,0,0,4867,5312539740,6077657
unknown,160.217.124.202,1301,9887,808,109,2078,0,0,0,4866,6841437524,6198221
unknown,160.217.124.202,1548,11636,813,109,1961,0,0,0,4866,5813105259,6321448
unknown,160.217.124.202,1417,11597,782,109,2080,0,0,0,4865,5831455721,6442654
unknown,160.217.124.202,1538,13472,280,109,1916,88,88,308,1608,1749981947,6562349
unknown,160.217.124.202,1597,13380,278,109,2117,124,54,67,1980,2199401614,6684600
