label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.166.30,1826,14032,791,332,322,0,0,0,331,318394070,220374
unknown,160.217.166.30,2141,16162,364,332,292,0,0,0,331,276432718,228776
unknown,160.217.166.30,1868,15854,247,332,318,0,0,0,332,282654421,237122
unknown,160.217.166.30,2035,15566,279,332,308,0,0,0,332,287884054,245458
unknown,160.217.166.30,2451,19950,1056,332,332,101,32,63,200,224621714,253731
unknown,160.217.166.30,3292,20457,2603,332,322,0,0,0,333,219714562,262096
unknown,160.217.166.30,2987,18869,1747,332,304,0,0,0,333,238205564,270440
unknown,160.217.166.30,3292,22950,1318,332,322,0,0,0,333,195847529,278518
unknown,160.217.166.30,3763,25061,2132,332,322,0,0,0,334,179889006,286890
unknown,160.217.166.30,2291,17937,585,332,322,0,0,0,332,249830138,295262
unknown,160.217.166.30,3193,25009,563,332,398,57,57,231,167,199152880,303623
unknown,160.217.166.30,3101,24331,843,332,321,59,59,155,166,168643722,312056
unknown,160.217.166.30,1752,18272,1308,332,322,0,0,0,333,245988441,320378
unknown,160.217.166.30,1910,17416,1033,332,332,0,0,0,333,258078824,328740
unknown,160.217.166.30,1896,17436,923,332,322,0,0,0,333,257782794,337122
unknown,160.217.166.30,3158,20250,1929,332,288,0,0,0,333,221960533,345482
unknown,160.217.166.30,1802,18111,930,332,289,0,0,0,333,248175186,353853
unknown,160.217.166.30,2247,16023,462,332,323,0,0,0,333,280515558,362099
unknown,160.217.166.30,3883,30552,493,332,334,0,0,0,348,153743283,370138
unknown,160.217.166.30,2623,18978,764,332,288,0,0,0,333,236837432,378510
unknown,160.217.166.30,1882,20789,589,332,306,0,0,0,333,216205724,386910
unknown,160.217.166.30,3427,26591,1146,332,353,24,24,155,198,175122108,395259
unknown,160.217.166.30,1862,16622,1195,332,303,0,0,0,333,270406738,403611
unknown,160.217.166.30,1836,17475,1060,332,299,0,0,0,333,257207484,411987
unknown,160.217.166.30,2810,21551,643,332,350,89,89,184,166,200419098,420339
unknown,160.217.166.30,2714,20959,592,332,350,94,94,184,166,208656061,428706
unknown,160.217.166.30,2596,21434,773,332,324,94,90,154,166,204032023,437048
