Label,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,retrans_out,total_lost,sack_out,total_retrans,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
Wi-Fi,587917,41077,16998,200000,210190,18292,52,0,0,19,0,18,52,1229496,18446744073709551615,4994
Wi-Fi,479017,51401,24200,200000,205733,18292,52,0,0,19,0,18,53,1538029,18446744073709551615,5071
Wi-Fi,370006,46159,494,200000,203225,18292,54,0,0,19,0,18,54,2028732,18446744073709551615,5194
Wi-Fi,800368,101527,6586,200000,202419,18292,53,0,0,19,0,18,54,937872,18446744073709551615,5238
Wi-Fi,249275,30473,5727,200000,201815,18292,55,0,0,19,0,18,55,3067070,18446744073709551615,5326
Wi-Fi,469300,29220,6986,200000,201022,18292,38,0,0,20,0,19,38,1125570,18446744073709551615,5435
Wi-Fi,306910,33593,14224,200000,201022,18292,37,0,0,20,0,19,39,1766417,18446744073709551615,5472
Wi-Fi,295835,38088,17598,200000,200324,18292,41,0,0,20,0,19,41,1926522,18446744073709551615,5603
Wi-Fi,346636,43266,989,200000,200104,18292,43,0,0,20,0,19,43,1724386,18446744073709551615,5761
Wi-Fi,364997,45033,3123,200000,200078,18292,81,0,0,20,38,19,44,3084860,18446744073709551615,5864
Wi-Fi,316946,39182,12770,200000,200059,18292,30,0,0,22,0,21,30,1315757,18446744073709551615,5910
Wi-Fi,179945,21769,4625,200000,200034,18292,31,0,0,22,0,21,31,2394758,18446744073709551615,5998
Wi-Fi,514370,62946,10320,200000,200020,18292,31,0,0,22,0,21,32,864796,18446744073709551615,6051
Wi-Fi,183908,22248,4062,200000,200007,18292,33,0,0,22,0,21,33,2494325,18446744073709551615,6177
Wi-Fi,567275,73397,19793,200000,200006,18292,34,0,0,22,0,21,34,833153,18446744073709551615,6202
Wi-Fi,313796,32661,12157,200000,200004,18292,35,0,0,22,0,21,36,1594758,18446744073709551615,6286
Wi-Fi,510850,76623,62125,200000,200003,18292,35,0,0,22,0,21,36,979600,18446744073709551615,6319
Wi-Fi,329437,42890,8927,200000,200003,18292,38,0,0,22,0,21,38,1603433,18446744073709551615,6456
Wi-Fi,330922,42664,8181,200000,200003,18292,37,0,0,22,0,21,38,1596238,18446744073709551615,6457
Wi-Fi,233000,28854,657,200000,200003,18292,39,0,0,22,0,21,40,2386403,18446744073709551615,6595
Wi-Fi,333060,41160,2661,200000,200003,18292,42,0,0,22,1,21,41,1711201,18446744073709551615,6734
Wi-Fi,342215,40468,5391,200000,200003,18292,61,0,0,22,18,21,44,2477824,18446744073709551615,6904
Wi-Fi,273556,34494,5313,200000,200003,18049,22,0,0,27,1,26,31,1575270,18446744073709551615,7004
Wi-Fi,228679,28673,2735,200000,200003,18049,32,0,0,27,0,26,32,1945196,18446744073709551615,7102
Wi-Fi,227566,18812,29872,200000,200003,18049,35,0,0,27,1,26,34,2076879,18446744073709551615,7185
Wi-Fi,399714,48919,6140,200000,200003,15954,34,0,0,27,0,26,34,1182413,18446744073709551615,7261
Wi-Fi,266841,33681,1314,200000,200003,15954,36,0,0,27,0,26,36,1875381,18446744073709551615,7331
Wi-Fi,167803,17034,27535,200000,200003,15954,35,0,0,28,0,27,36,2982239,18446744073709551615,7410
Wi-Fi,215550,26907,590,200000,200003,15954,38,0,0,28,0,27,38,2450616,18446744073709551615,7536
Wi-Fi,235503,29346,1211,200000,200003,15954,38,0,0,28,0,27,38,2242987,18446744073709551615,7574
Wi-Fi,1193981,91946,14374,200000,283672,15954,40,0,0,28,0,27,40,465695,18446744073709551615,7613
Wi-Fi,775687,97165,1467,200000,262754,15954,40,0,0,28,0,27,40,716825,18446744073709551615,7653
Wi-Fi,636614,79247,1902,200000,247066,15954,40,0,0,28,0,27,40,873420,18446744073709551615,7693
Wi-Fi,1464408,39649,42990,200000,247560,15954,40,0,0,28,0,27,40,379697,18446744073709551615,7734
Wi-Fi,1273479,156334,12554,200000,235670,15954,40,0,0,28,0,27,41,447540,18446744073709551615,7773
Wi-Fi,937926,116868,2451,200000,226753,15954,43,0,0,28,1,27,42,622472,18446744073709551615,7814
Wi-Fi,300588,37507,2054,200000,215049,15954,42,0,0,28,0,27,42,1942305,18446744073709551615,7900
Wi-Fi,1231833,160487,50364,271414,271414,15954,43,0,0,28,0,27,43,485239,18446744073709551615,7922
Wi-Fi,398036,30048,115470,200000,384237,15954,42,0,0,29,0,28,43,1501709,18446744073709551615,7982
Wi-Fi,575326,40090,39012,200000,303634,15954,37,0,0,29,0,28,43,1038949,18446744073709551615,8030
Wi-Fi,1133750,141513,2899,200000,303634,15954,44,0,0,29,0,28,44,539479,18446744073709551615,8065
Wi-Fi,438493,17268,75586,200000,277726,15954,45,0,0,29,1,28,44,1394857,18446744073709551615,8082
Wi-Fi,1407210,177094,10970,351046,351046,15954,44,0,0,29,0,28,45,444522,18446744073709551615,8149
Wi-Fi,1358538,122137,8190,200000,351046,15954,45,0,0,29,0,28,45,460447,18446744073709551615,8162
Wi-Fi,229596,28568,1893,200000,284964,15954,46,0,0,29,0,28,46,2785052,18446744073709551615,8251
Wi-Fi,220733,27290,2369,200000,262796,15954,47,0,0,29,0,28,47,2959854,18446744073709551615,8345
Wi-Fi,2160286,285998,131123,578443,578443,15954,48,0,0,29,0,28,48,308865,18446744073709551615,8370
Wi-Fi,642348,63973,12036,200000,483833,15954,49,0,0,29,0,28,49,1060389,18446744073709551615,8444
Wi-Fi,240019,29438,4334,200000,319743,15954,49,0,0,29,0,28,50,2895770,18446744073709551615,8627
Wi-Fi,510395,64003,897,200000,250517,15954,50,0,0,29,0,28,51,1389004,18446744073709551615,8736
Wi-Fi,276914,34796,1151,200000,250517,15954,53,0,0,29,1,28,52,2610346,18446744073709551615,8777
Wi-Fi,282450,35784,2081,200000,237888,15954,53,0,0,29,0,28,52,2559184,18446744073709551615,8788
Wi-Fi,372934,31484,54955,200000,215984,15954,54,0,0,29,0,28,54,2012804,18446744073709551615,8909
Wi-Fi,349677,44271,3312,200000,206744,15954,55,0,0,29,0,28,55,2186429,18446744073709551615,9092
Wi-Fi,219718,23686,8254,200000,202846,15954,55,0,0,29,0,28,56,3542926,18446744073709551615,9242
Wi-Fi,263495,32666,659,200000,202135,15954,57,0,0,29,0,28,57,3007061,18446744073709551615,9316
Wi-Fi,165753,20130,636,200000,200902,15954,56,0,0,29,0,28,58,4864143,18446744073709551615,9468
Wi-Fi,225246,29743,7540,200000,200508,15954,40,0,0,52,0,51,41,2530268,18446744073709551615,9607
Wi-Fi,209602,24458,10145,200000,200286,15954,30,0,0,61,1,60,29,1923279,18446744073709551615,9725
Wi-Fi,189970,23413,1130,200000,200092,15954,30,0,0,61,0,60,30,2195209,18446744073709551615,9843
Wi-Fi,321210,38074,17005,200000,200092,15954,29,0,0,61,0,60,30,1298290,18446744073709551615,9859
Wi-Fi,243142,32145,10333,200000,200014,15954,34,0,0,61,0,60,34,1943831,18446744073709551615,10064
Wi-Fi,293354,36822,1201,200000,200009,15954,36,0,0,61,1,60,35,1658501,18446744073709551615,10138
Wi-Fi,179594,22178,2436,200000,200005,15954,37,0,0,61,1,60,36,2786444,18446744073709551615,10260
Wi-Fi,217397,28604,12197,200000,200005,15954,38,0,0,61,1,60,37,2365854,18446744073709551615,10269
Wi-Fi,462840,55993,10500,200000,200003,15954,40,0,0,61,1,60,39,1171314,18446744073709551615,10414
Wi-Fi,180008,22415,482,200000,200003,15954,40,0,0,61,0,60,40,3088929,18446744073709551615,10503
Wi-Fi,435078,54732,2014,200000,200003,15954,40,0,0,61,0,60,40,1278005,18446744073709551615,10543
Wi-Fi,243299,30824,2787,200000,200003,15954,43,0,0,61,1,60,42,2399654,18446744073709551615,10677
Wi-Fi,253846,32389,2625,200000,200003,15954,44,0,0,61,0,60,44,2409473,18446744073709551615,10820
Wi-Fi,196579,24820,3549,200000,200003,15954,46,0,0,61,0,60,46,3252823,18446744073709551615,10937
Wi-Fi,224509,23921,9170,200000,200003,15954,102,4,4,65,65,64,37,6253561,18446744073709551615,11048
Wi-Fi,314833,31429,20903,200000,200003,15954,31,0,0,65,0,64,32,1412893,18446744073709551615,11088
Wi-Fi,183929,22918,1358,200000,200003,15954,34,0,0,65,0,64,34,2569617,18446744073709551615,11249
Wi-Fi,273103,33763,7253,200000,200003,15954,35,0,0,65,0,64,35,1781481,18446744073709551615,11265
