label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,46.135.16.181,179100,1523989,98830,27410,420,0,0,0,434,3821961,4453
unknown,46.135.16.181,89769,1230178,99494,27410,457,0,0,0,458,4996615,4928
unknown,46.135.16.181,61735,810600,42498,27410,476,0,0,0,480,7947179,5373
unknown,46.135.16.181,77767,1232241,36179,27410,504,0,0,0,506,5511036,5883
unknown,46.135.16.181,164324,1103944,96145,27410,505,0,0,0,519,6309554,6146
unknown,46.135.16.181,37827,2323231,186119,27410,546,0,0,0,546,3154123,6688
unknown,46.135.16.181,117102,1491002,248044,27410,536,0,0,0,549,4941656,6745
unknown,46.135.16.181,32641,1221820,111561,27410,578,0,0,0,578,6348907,7327
unknown,46.135.16.181,170044,1497546,10121,27410,430,0,0,0,607,5439849,7902
unknown,46.135.16.181,234598,1878366,701,27410,427,0,0,0,637,4551322,8503
unknown,46.135.16.181,121307,1007303,36435,27410,504,0,0,0,658,8766862,8914
unknown,46.135.16.181,175434,1566832,78610,27410,618,0,0,0,674,5773190,9236
unknown,46.135.16.181,175426,1492085,53675,27410,593,0,0,0,678,6098380,9332
unknown,46.135.16.181,162045,1347712,36324,27410,713,0,0,0,713,7100204,10021
unknown,46.135.16.181,127282,947487,44134,27410,681,0,0,0,729,10326013,10334
unknown,46.135.16.181,148151,1675478,13791,27410,398,0,0,0,750,6007599,10761
unknown,46.135.16.181,107778,984486,82276,27410,769,0,0,0,769,10483232,11139
unknown,46.135.16.181,159490,1135152,96414,27410,766,0,0,0,771,9115463,11185
unknown,46.135.16.181,159447,1152765,89924,27410,772,0,0,0,772,8987831,11196
unknown,46.135.16.181,64850,2084199,282858,27410,813,0,0,0,813,5235157,12018
unknown,46.135.16.181,438351,3082440,350489,27410,815,0,0,0,816,3552825,12088
unknown,46.135.16.181,494155,3852008,103068,27410,669,0,0,0,825,2874386,12254
unknown,46.135.16.181,39569,1143303,171794,27410,868,0,0,0,868,10189122,13114
unknown,46.135.16.181,93092,666555,40074,27410,874,0,0,0,880,17718423,13371
unknown,46.135.16.181,154172,1068505,121966,27410,861,0,0,0,887,11141033,13498
unknown,46.135.16.181,261406,2289837,85694,27410,573,0,0,0,931,5456617,14380
unknown,46.135.16.181,259208,2062145,9271,27410,896,0,0,0,945,6150225,14657
unknown,46.135.16.181,544304,4348496,6910,27410,725,0,0,0,968,2987546,15116
unknown,46.135.16.181,342738,2731362,10333,27410,1024,223,223,735,289,8336728,15864
unknown,46.135.16.181,81662,1497141,145882,27410,1044,204,204,741,677,9206321,15893
unknown,46.135.16.181,189578,1517571,3194,27410,1418,17,17,741,677,12451797,16080
unknown,46.135.16.181,164293,1331423,15819,27410,428,0,0,0,677,6824188,16448
unknown,46.135.16.181,141389,1205326,58778,27410,574,0,0,0,680,7571515,16763
unknown,46.135.16.181,246530,1953565,19671,27410,688,0,0,0,689,4733362,17087
unknown,46.135.16.181,271922,2223515,123827,27410,619,0,0,0,691,4170771,17181
unknown,46.135.16.181,269097,2391810,106336,27410,465,0,0,0,710,3983915,17617
unknown,46.135.16.181,398065,3377583,177282,27410,522,0,0,0,719,2856940,17824
unknown,46.135.16.181,160445,2467007,55186,27410,450,0,0,0,737,4009364,18360
unknown,46.135.16.181,294843,2328588,48665,27410,738,0,0,0,738,4253457,18386
unknown,46.135.16.181,221358,2354275,72956,27410,565,27,27,52,517,3220843,19127
