label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,1857,20295,642,188,1656,0,0,0,1658,1135625838,1846293
unknown,160.217.124.202,1849,21046,614,188,1677,0,0,0,1677,1107651886,1913945
unknown,160.217.124.202,2093,20827,448,188,1665,0,0,0,1698,1133315331,1982520
unknown,160.217.124.202,2291,23853,1291,188,1682,0,0,0,1722,1003529015,2054329
unknown,160.217.124.202,2573,21449,425,188,1708,0,0,0,1746,1131558431,2123734
unknown,160.217.124.202,2834,20915,729,188,1761,0,0,0,1761,1170418780,2192906
unknown,160.217.124.202,2285,22868,991,188,1742,0,0,0,1784,1084442329,2264477
unknown,160.217.124.202,2745,21896,574,188,1782,0,0,0,1806,1146549360,2332055
unknown,160.217.124.202,2662,22757,637,188,1828,0,0,0,1828,1116608621,2403511
unknown,160.217.124.202,3039,22799,597,188,1826,0,0,0,1848,1126745839,2474090
unknown,160.217.124.202,2536,21488,527,188,1676,0,0,0,1863,1205193149,2543856
unknown,160.217.124.202,2295,22008,905,188,1877,0,0,0,1877,1185559869,2595584
unknown,160.217.124.202,591,7345,278,188,1391,0,0,0,1411,2670391940,2743359
unknown,160.217.124.202,685,5204,197,158,950,0,0,0,989,2641793082,2887407
unknown,160.217.124.202,501,4758,312,158,946,0,0,0,974,2845603026,3041041
unknown,160.217.124.202,311,4670,465,128,897,0,0,0,927,2759323683,3183920
unknown,160.217.124.202,471,3992,278,128,679,0,0,0,908,3161805210,3329954
unknown,160.217.124.202,349,4568,251,128,877,0,0,0,909,2766161821,3474735
unknown,160.217.124.202,538,5173,353,128,900,0,0,0,919,2469521592,3617500
unknown,160.217.124.202,454,5238,244,128,990,0,0,0,1004,2664452691,3762670
unknown,160.217.124.202,511,5067,413,128,938,0,0,0,948,2600741740,3918590
unknown,160.217.124.202,558,5497,406,128,990,0,0,0,1011,2556614298,4064068
unknown,160.217.124.202,418,4938,388,128,900,0,0,0,928,2612382017,4210543
unknown,160.217.124.202,330,4157,297,128,817,0,0,0,848,2835669569,4353096
unknown,160.217.124.202,308,2963,164,128,450,0,0,0,475,2228444144,4499533
unknown,160.217.124.202,352,3068,159,128,495,0,0,0,513,2324351499,4645063
unknown,160.217.124.202,471,3222,220,128,450,0,0,0,456,1967338547,4786678
unknown,160.217.124.202,391,4158,286,128,630,0,0,0,637,2129583838,4915648
unknown,160.217.124.202,425,4145,233,128,630,0,0,0,633,2122848347,5050648
unknown,160.217.124.202,486,5883,703,128,606,0,0,0,606,1431902906,5179169
unknown,160.217.124.202,388,6326,474,128,585,0,0,0,622,1366787480,5307553
unknown,160.217.124.202,529,5654,207,128,855,0,0,0,867,2131587124,5428108
unknown,160.217.124.202,482,4651,308,128,720,0,0,0,721,2154907933,5535838
unknown,160.217.124.202,750,5696,327,128,855,0,0,0,895,2184202247,5661773
unknown,160.217.124.202,597,5186,209,128,855,0,0,0,897,2404361280,5802803
unknown,160.217.124.202,289,5493,172,128,898,0,0,0,898,2272513817,5936408
unknown,160.217.124.202,534,5401,271,128,861,0,0,0,889,2288059840,6065642
unknown,160.217.124.202,702,6578,568,128,855,0,0,0,890,1880771055,6179318
unknown,160.217.124.202,1113,6895,665,128,765,0,0,0,772,1556405743,6278543
unknown,160.217.124.202,679,6585,590,128,746,0,0,0,773,1631787152,6380487
unknown,160.217.124.202,638,6463,299,128,765,0,0,0,807,1735718025,6481763
unknown,160.217.124.202,674,6753,537,128,900,0,0,0,901,1854675077,6572393
unknown,160.217.124.202,627,6257,533,128,765,0,0,0,785,1743987214,6687233
unknown,160.217.124.202,630,5984,584,128,704,0,0,0,717,1665587165,6782334
unknown,160.217.124.202,942,5952,377,128,651,0,0,0,685,1599806451,6874862
unknown,160.217.124.202,614,5558,172,128,720,0,0,0,746,1865778481,6975998
unknown,160.217.124.202,597,5248,160,128,720,0,0,0,747,1978639024,7083548
unknown,160.217.124.202,502,5328,112,128,720,0,0,0,749,1954147747,7195103
unknown,160.217.124.202,599,5796,387,128,765,0,0,0,773,1853919668,7289018
unknown,160.217.124.202,459,4315,382,128,405,0,0,0,424,1365918702,7354628
unknown,160.217.124.202,583,4155,227,128,397,0,0,0,413,1381716101,7441126
unknown,160.217.124.202,406,4011,383,128,495,0,0,0,496,1718972026,7538813
unknown,160.217.124.202,559,5620,453,128,757,0,0,0,765,1892190747,7645066
unknown,160.217.124.202,621,5358,334,128,765,0,0,0,766,1987311086,7756883
unknown,160.217.124.202,821,5799,272,128,765,0,0,0,775,1857754785,7863038
unknown,160.217.124.202,743,5733,124,128,765,0,0,0,776,1881566509,7973378
unknown,160.217.124.202,596,5529,346,128,765,0,0,0,778,1956017797,8082818
unknown,160.217.124.202,442,4011,136,128,540,0,0,0,558,1933843530,8189783
unknown,160.217.124.202,691,5690,154,128,765,0,0,0,782,1910443866,8209493
unknown,160.217.124.202,420,4913,404,128,540,0,0,0,542,1533530144,8400985
unknown,160.217.124.202,584,3741,238,128,360,0,0,0,372,1382276824,8505160
unknown,160.217.124.202,427,6831,334,128,512,47,11,15,461,1041898638,8603753
unknown,160.217.124.202,652,4507,399,128,495,0,0,0,513,1582229953,8688310
unknown,160.217.124.202,708,5676,215,128,720,0,0,0,745,1824541226,8794465
unknown,160.217.124.202,710,5491,270,128,720,0,0,0,746,1888544308,8902825
unknown,160.217.124.202,671,6322,703,128,769,0,0,0,791,1739249098,9012306
unknown,160.217.124.202,707,6174,417,128,855,0,0,0,870,1958810495,9123820
unknown,160.217.124.202,794,6939,344,128,900,0,0,0,927,1857045914,9237940
unknown,160.217.124.202,644,7087,310,128,997,0,0,0,1005,1971257795,9348453
unknown,160.217.124.202,797,7618,316,128,990,0,0,0,1032,1883122289,9462670
unknown,160.217.124.202,969,7884,172,128,1080,0,0,0,1084,1911271841,9577240
unknown,160.217.124.202,803,6334,69,128,900,0,0,0,918,2014672308,9690550
unknown,160.217.124.202,665,5790,314,128,815,0,0,0,828,1987886424,9799895
unknown,160.217.124.202,587,5492,311,128,720,0,0,0,749,1895793736,9900340
unknown,160.217.124.202,671,5218,142,128,720,0,0,0,749,1995342889,10002535
unknown,160.217.124.202,691,5206,213,128,720,0,0,0,751,2005282520,10115755
unknown,160.217.124.202,683,5347,125,128,720,0,0,0,758,1970601533,10221415
unknown,160.217.124.202,573,5268,253,128,726,0,0,0,760,2005430523,10332154
unknown,160.217.124.202,824,5576,341,128,720,0,0,0,721,1797431276,10437190
unknown,160.217.124.202,705,5833,258,128,765,0,0,0,770,1835010457,10540555
unknown,160.217.124.202,718,5710,218,128,765,0,0,0,771,1876973169,10650400
unknown,160.217.124.202,713,5743,285,128,765,0,0,0,773,1871028800,10763935
unknown,160.217.124.202,785,5573,304,128,765,0,0,0,797,1987966553,10875130
unknown,160.217.124.202,621,5854,422,128,810,0,0,0,825,1959029723,10987450
unknown,160.217.124.202,685,5641,250,128,765,0,0,0,777,1914717532,11090725
unknown,160.217.124.202,762,5823,366,128,720,0,0,0,755,1802353426,11192110
unknown,160.217.124.202,696,4806,349,128,675,0,0,0,717,2073839700,11285395
unknown,160.217.124.202,555,5369,409,128,720,0,0,0,729,1887443322,11390515
unknown,160.217.124.202,469,4145,407,128,360,0,0,0,362,1214014378,11474395
unknown,160.217.124.202,818,5615,392,128,720,0,0,0,731,1809703437,11564845
unknown,160.217.124.202,362,4014,327,128,476,0,0,0,514,1780022720,11672819
unknown,160.217.124.202,729,4716,426,128,495,0,0,0,523,1541585750,11775040
unknown,160.217.124.202,804,6008,484,128,728,0,0,0,736,1702894274,11878127
unknown,160.217.124.202,520,6740,471,128,630,0,0,0,647,1334394302,11955130
unknown,160.217.124.202,1169,7866,626,128,644,0,0,0,648,1145145995,12026441
unknown,160.217.124.202,1042,7603,499,128,611,0,0,0,649,1186586768,12095324
unknown,160.217.124.202,1084,7565,697,128,644,0,0,0,650,1194384666,12166886
unknown,160.217.124.202,760,9317,377,128,675,0,0,0,704,1050355608,12238585
unknown,160.217.124.202,707,10483,1019,128,779,0,0,0,784,1039609577,12311336
unknown,160.217.124.202,765,9225,939,128,765,0,0,0,784,1181379642,12383710
unknown,160.217.124.202,1143,9469,315,128,810,0,0,0,821,1205254704,12455665
unknown,160.217.124.202,1038,10117,607,128,850,0,0,0,865,1188513590,12527355
unknown,160.217.124.202,1407,11496,514,128,900,0,0,0,922,1114869311,12599350
unknown,160.217.124.202,952,11628,368,128,945,0,0,0,952,1138077192,12669595
unknown,160.217.124.202,1831,12887,707,128,990,0,0,0,1000,1078668425,12740020
unknown,160.217.124.202,972,15286,1772,128,997,0,0,0,1027,933934423,12811168
unknown,160.217.124.202,1346,13323,693,128,1035,0,0,0,1067,1113274307,12880340
unknown,160.217.124.202,1217,13008,744,128,1080,0,0,0,1087,1161605904,12952884
unknown,160.217.124.202,2050,14023,757,128,1119,0,0,0,1131,1121144177,13024395
unknown,160.217.124.202,1343,13610,600,128,1125,0,0,0,1134,1158229772,13028034
unknown,160.217.124.202,676,7684,804,128,663,0,0,0,669,1210259656,13168503
unknown,160.217.124.202,869,8516,427,128,720,0,0,0,723,1180164208,13239591
unknown,160.217.124.202,964,8714,727,128,741,0,0,0,776,1237895432,13313055
unknown,160.217.124.202,1348,9585,656,128,786,0,0,0,816,1183417089,13384155
unknown,160.217.124.202,752,10768,375,128,843,0,0,0,862,1112786924,13456728
unknown,160.217.124.202,878,10670,1372,128,855,0,0,0,894,1164696832,13527366
unknown,160.217.124.202,1822,12298,912,128,883,0,0,0,923,1043294714,13597763
unknown,160.217.124.202,1414,11710,505,128,921,0,0,0,959,1138417352,13668735
unknown,160.217.124.202,1091,12932,822,128,990,0,0,0,994,1068465450,13739181
unknown,160.217.124.202,1541,13269,826,128,1004,0,0,0,1036,1085328871,13807387
unknown,160.217.124.202,1039,13224,556,128,1080,0,0,0,1091,1146837023,13880166
unknown,160.217.124.202,657,7306,423,128,630,0,0,0,662,1259557842,13951446
unknown,160.217.124.202,770,6907,637,120,450,0,0,0,490,986157810,16996092
unknown,160.217.124.202,912,7977,670,120,573,0,0,0,608,1059506882,17061039
unknown,160.217.124.202,893,7562,409,120,711,0,0,0,711,1306991377,17128571
unknown,160.217.124.202,1039,8514,356,120,810,0,0,0,812,1325751656,17205656
unknown,160.217.124.202,1220,10068,322,120,895,0,0,0,895,1235718712,17276846
unknown,160.217.124.202,922,8604,650,120,945,0,0,0,986,1593001952,17362166
unknown,160.217.124.202,536,6755,723,120,540,0,0,0,583,1199728556,17435246
unknown,160.217.124.202,851,7773,749,120,675,0,0,0,691,1235745889,17504051
unknown,160.217.124.202,716,7756,494,120,765,0,0,0,774,1387212377,17565071
unknown,160.217.124.202,1004,9425,775,120,855,0,0,0,885,1305274058,17656376
unknown,160.217.124.202,948,9072,821,120,945,0,0,0,972,1489371428,17737646
unknown,160.217.124.202,817,7319,732,120,549,0,0,0,583,1107277824,17809187
unknown,160.217.124.202,813,7590,502,120,689,0,0,0,689,1261877628,17876457
unknown,160.217.124.202,968,8240,474,120,765,0,0,0,780,1315852427,17943341
unknown,160.217.124.202,967,9516,864,120,855,0,0,0,886,1294252711,18031594
unknown,160.217.124.202,976,8976,654,120,945,0,0,0,970,1502203208,18109939
unknown,160.217.124.202,1022,11400,122,120,1035,0,0,0,1048,1277898105,18188239
