label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.166.30,2856,21680,431,621,230,0,0,0,247,153778007,219062
unknown,160.217.166.30,2206,16719,376,600,184,0,0,0,191,154198313,227480
unknown,160.217.166.30,2278,17233,418,600,184,0,0,0,211,165263947,235714
unknown,160.217.166.30,2260,18787,273,600,213,0,0,0,226,162370660,244057
unknown,160.217.166.30,1634,14423,416,600,166,0,0,0,173,161900076,252384
unknown,160.217.166.30,2183,16640,394,600,184,0,0,0,192,155741538,260048
unknown,160.217.166.30,2493,18997,409,600,184,0,0,0,216,153470632,269018
unknown,160.217.166.30,2713,21121,397,600,197,0,0,0,237,151457374,277331
unknown,160.217.166.30,1890,16686,399,600,167,0,0,0,187,151267601,285687
unknown,160.217.166.30,1988,17004,387,600,167,0,0,0,204,161933098,292771
unknown,160.217.166.30,2499,20506,528,600,196,0,0,0,234,154025085,303000
unknown,160.217.166.30,1875,14337,474,600,149,0,0,0,174,163812680,311327
unknown,160.217.166.30,2269,17260,413,600,184,0,0,0,203,158749293,319618
unknown,160.217.166.30,2462,18897,339,600,184,0,0,0,223,159282679,327990
unknown,160.217.166.30,2731,21051,370,600,230,0,0,0,237,151961008,336270
unknown,160.217.166.30,1846,13642,449,600,149,0,0,0,177,175126462,344539
unknown,160.217.166.30,2329,17423,468,600,184,0,0,0,206,159588222,352830
unknown,160.217.166.30,2499,19026,496,600,184,0,0,0,218,154655566,358488
unknown,160.217.166.30,2408,18976,861,600,230,0,0,0,232,165021247,361708
unknown,160.217.166.30,2867,21949,408,600,230,0,0,0,246,151278399,370586
unknown,160.217.166.30,3025,23275,444,600,230,0,0,0,261,151358693,378820
unknown,160.217.166.30,3300,25477,378,600,276,0,0,0,278,147283149,387100
unknown,160.217.166.30,2207,17184,350,600,196,0,0,0,209,164164245,395460
unknown,160.217.166.30,2492,21049,395,600,214,0,0,0,230,147486721,403814
unknown,160.217.166.30,2777,21481,373,600,230,0,0,0,251,157716009,412216
unknown,160.217.166.30,2962,22804,524,600,242,0,0,0,267,158036274,420576
unknown,160.217.166.30,2156,16961,303,600,196,0,0,0,204,162343635,428948
unknown,160.217.166.30,2475,18956,446,600,184,0,0,0,226,160923063,437332
unknown,160.217.166.30,2791,21488,471,600,230,0,0,0,247,155152047,445750
unknown,160.217.166.30,2188,16761,365,600,184,0,0,0,191,153811920,454260
unknown,160.217.166.30,2366,18674,373,600,197,0,0,0,217,156847981,462711
unknown,160.217.166.30,2716,21117,420,600,230,0,0,0,231,147650973,470636
unknown,160.217.166.30,2816,21709,357,600,230,0,0,0,251,156059588,479054
unknown,160.217.166.30,2297,17222,474,600,184,0,0,0,198,155180861,487564
unknown,160.217.166.30,2224,18842,548,600,214,0,0,0,218,156165842,495998
unknown,160.217.166.30,2757,21249,335,600,230,0,0,0,232,147368967,504400
unknown,160.217.166.30,2717,21216,314,600,230,0,0,0,252,160322171,512772
unknown,160.217.166.30,2297,17446,430,600,184,0,0,0,198,153188398,521190
unknown,160.217.166.30,2393,18773,301,600,196,0,0,0,218,156739828,529550
unknown,160.217.166.30,1948,14513,473,600,138,0,0,0,176,163686184,537980
unknown,160.217.166.30,2221,16696,424,600,184,0,0,0,193,156027599,544466
unknown,160.217.166.30,2455,18728,463,600,184,0,0,0,218,157116445,554218
unknown,160.217.166.30,2781,21421,398,600,230,0,0,0,238,149966332,562682
unknown,160.217.166.30,1808,14352,252,600,151,0,0,0,177,166462876,571133
unknown,160.217.166.30,1970,16518,355,600,167,0,0,0,192,156891827,576315
unknown,160.217.166.30,2225,17363,374,600,195,0,0,0,207,160917076,580887
unknown,160.217.166.30,2487,18952,396,600,184,0,0,0,220,156683832,587430
unknown,160.217.166.30,2412,18472,478,600,196,0,0,0,227,165870246,589948
unknown,160.217.166.30,2734,21457,293,600,230,0,0,0,246,154747150,598332
unknown,160.217.166.30,3001,23144,385,600,243,0,0,0,265,154548219,606277
unknown,160.217.166.30,3348,25930,416,600,276,0,0,0,281,146271716,614662
unknown,160.217.166.30,3339,26044,312,600,276,0,0,0,293,151850591,623080
unknown,160.217.166.30,3353,26273,434,600,276,0,0,0,304,156178220,629244
unknown,160.217.166.30,2413,18815,361,600,197,0,0,0,217,155672559,632865
unknown,160.217.166.30,2477,21017,383,600,213,0,0,0,239,153491288,640439
unknown,160.217.166.30,2960,21903,535,600,241,0,0,0,258,158991042,649427
unknown,160.217.166.30,2987,23329,361,600,230,0,0,0,275,159108405,657718
unknown,160.217.166.30,3309,25852,419,600,287,0,0,0,288,150367816,665987
unknown,160.217.166.30,2191,18571,556,600,213,0,0,0,213,154810661,674479
unknown,160.217.166.30,2458,20677,485,600,213,0,0,0,235,153404072,682759
unknown,160.217.166.30,1923,16507,439,600,168,0,0,0,187,152907929,691038
unknown,160.217.166.30,2208,17286,378,600,195,0,0,0,204,159291357,699337
unknown,160.217.166.30,2146,18650,321,600,213,0,0,0,214,154878627,701389
unknown,160.217.166.30,1613,14911,277,600,171,0,0,0,173,156601488,716013
unknown,160.217.166.30,2171,16416,722,600,184,0,0,0,203,166911111,724970
unknown,160.217.166.30,2426,19429,376,600,216,0,0,0,216,150058242,733250
unknown,160.217.166.30,2708,21179,475,600,196,0,0,0,236,150405288,741564
