label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered,bytes_acked
wi-fi,37.65.43.81,40429,322761,509,38239,913,0,0,0,931,40096680,2795,4044264
wi-fi,37.65.43.81,45185,361918,822,38070,1026,0,0,0,1036,39791413,4907,7102440
wi-fi,37.65.43.81,40905,325690,713,38070,1154,0,0,0,1159,49467368,7349,10638456
wi-fi,37.65.43.81,40886,330426,373,38070,1273,0,0,0,1295,54479780,10081,14594392
wi-fi,37.65.43.81,44548,354617,983,38070,1443,0,0,0,1444,56604040,13061,18909432
wi-fi,37.65.43.81,46986,377535,998,38070,1589,0,0,0,1607,59169575,16316,23622672
wi-fi,37.65.43.81,51584,414709,1165,38070,1751,0,0,1,1763,59094715,19440,28144776
wi-fi,37.65.43.81,59912,476685,1394,38070,1898,0,0,2,1914,55814911,22460,32516288
wi-fi,37.65.43.81,65077,520090,328,38070,2064,0,0,1,2067,55246118,25528,36959680
wi-fi,37.65.43.81,58010,477321,5471,38070,2205,0,0,2,2228,64885019,28753,41627424
wi-fi,37.65.43.81,70182,558642,1510,38070,2361,0,0,1,2375,59097597,31695,45888280
wi-fi,37.65.43.81,74038,592479,586,38070,1924,0,0,5,2510,58889864,34969,50622632
wi-fi,37.65.43.81,66184,527781,741,38070,2644,0,0,0,2654,69901575,37846,54794552
wi-fi,37.65.43.81,75045,597387,1718,38070,2413,0,0,2,2741,63781255,40815,59090160
wi-fi,37.65.43.81,80527,642004,1254,38070,2158,0,0,0,2770,59976598,43784,63391560
wi-fi,37.65.43.81,62270,498057,1176,38070,2644,0,0,1,2831,79013375,46920,67930432
wi-fi,37.65.43.81,71883,572673,1250,38070,2457,0,0,1,2831,68718386,49823,72133368
wi-fi,37.65.43.81,78750,627375,1603,38070,2269,0,0,1,2831,62726702,52727,76337752
wi-fi,37.65.43.81,85806,684049,1426,38070,2017,0,0,2,2831,57529745,55696,80634808
wi-fi,37.65.43.81,92619,738645,1352,38070,1976,0,0,1,2831,53277507,58577,84807336
wi-fi,37.65.43.81,70566,562437,1211,38070,2349,0,0,2,2831,69969018,61701,89328832
wi-fi,37.65.43.81,82684,659378,1188,38070,1991,0,0,2,2831,59682253,64775,93779376
wi-fi,37.65.43.81,65100,517471,1808,38070,2494,0,0,0,2831,76049024,67892,98294472
wi-fi,37.65.43.81,82667,659442,1081,38070,2174,0,0,0,2831,59676461,70928,102689992
wi-fi,37.65.43.81,63145,504795,583,38070,2570,0,0,0,2831,77958705,74153,107359184
wi-fi,37.65.43.81,72699,579444,1258,38070,1979,0,0,1,2831,67915389,77461,112147112
wi-fi,37.65.43.81,74482,594217,1211,38070,2267,102,102,1156,1112,53033005,81044,115662248
wi-fi,37.65.43.81,62492,497726,1384,38070,1977,0,0,0,1987,55494166,82831,119921936
wi-fi,37.65.43.81,61192,489778,421,38070,1995,0,0,0,2008,56990731,86133,124702624
wi-fi,37.65.43.81,71927,577651,624,38070,2007,0,0,3,2027,48778452,89065,128943208
wi-fi,37.65.43.81,62425,497182,1311,38070,2048,0,0,1,2047,57232437,92199,133483528
wi-fi,37.65.43.81,69095,552231,348,38070,2064,0,0,1,2066,52005506,95243,137890632
wi-fi,37.65.43.81,63734,509795,401,38070,2066,0,0,0,2083,56798058,98414,142483080
wi-fi,37.65.43.81,64209,512256,628,38070,2083,0,0,0,2101,57013643,101639,147151664
wi-fi,37.65.43.81,55734,451097,4160,38070,2104,0,0,1,2120,65328955,104812,151744112
wi-fi,37.65.43.81,66540,538175,468,38070,2125,0,0,2,2136,55171847,107847,156136736
wi-fi,37.65.43.81,67204,536131,667,38070,1941,0,0,1,2153,55822965,110997,160698776
wi-fi,37.65.43.81,68346,544170,1473,38070,2168,0,0,3,2171,55458104,114118,165214480
wi-fi,37.65.43.81,53165,435625,2818,38070,173,0,0,0,1523,48598951,117464,170062616
wi-fi,37.65.43.81,46951,376919,549,38070,1524,0,0,1,1529,56389630,119322,172751552
wi-fi,37.65.43.81,47139,380397,1355,38070,1528,0,0,2,1540,56276027,122514,177372120
wi-fi,37.65.43.81,48876,384911,1569,38070,1547,0,0,0,1550,55977199,125643,181905808
wi-fi,37.65.43.81,48614,389272,597,38070,1532,0,0,0,1560,55707186,129123,186944848
wi-fi,37.65.43.81,47148,377817,555,38070,1544,0,0,3,1570,57764092,132309,191553832
wi-fi,37.65.43.81,53066,425566,664,38070,1558,0,0,1,1578,51544207,135173,195703800
wi-fi,37.65.43.81,49276,392886,588,38070,1583,0,0,0,1587,56150052,138467,200474960
wi-fi,37.65.43.81,59209,473081,305,38070,1596,0,0,0,1596,46896148,141389,204706016
wi-fi,37.65.43.81,49229,396546,689,38070,1603,0,0,1,1605,56262789,144522,209241152
wi-fi,37.65.43.81,49064,391054,678,38070,1601,0,0,0,1614,57372872,147774,213951496
wi-fi,37.65.43.81,48914,391415,503,38070,1607,0,0,0,1622,57604071,151053,218699488
wi-fi,37.65.43.81,49236,391084,1448,38070,1619,0,0,0,1630,57937179,154267,223353360
wi-fi,37.65.43.81,51335,414922,811,38070,1617,0,0,1,1638,54876604,157479,228002888
wi-fi,37.65.43.81,46453,371671,326,38070,1626,0,0,1,1646,61561748,160845,232876856
wi-fi,37.65.43.81,57452,456898,1692,38070,1639,0,0,0,1653,50291361,163396,236572152
wi-fi,37.65.43.81,55646,442424,1169,38070,1649,0,0,0,1660,52156591,166385,240900224
wi-fi,37.65.43.81,51007,405977,794,38070,1644,0,0,0,1668,57112926,169691,245687312
wi-fi,37.65.43.81,49069,391866,354,38070,1670,0,0,2,1675,59417862,173132,250666984
wi-fi,37.65.43.81,50393,407181,962,38070,1663,0,0,1,1682,57421995,176333,255303480
wi-fi,37.65.43.81,57337,460516,515,38070,1681,0,0,1,1688,50952736,179195,259447656
wi-fi,37.65.43.81,50781,406399,843,38070,1674,0,0,1,1695,57977150,182667,264475112
wi-fi,37.65.43.81,50396,407611,848,38070,1694,0,0,1,1701,58009378,185784,268988528
wi-fi,37.65.43.81,54622,435198,776,38070,1692,0,0,0,1707,54523838,189020,273675704
wi-fi,37.65.43.81,50074,398940,704,38070,1712,0,0,0,1713,59688350,192393,278559808
wi-fi,37.65.43.81,60871,487136,396,38070,1694,0,0,1,1718,49024449,195427,282951592
wi-fi,37.65.43.81,52642,425869,855,38070,1705,0,0,0,1724,56273124,198655,287627184
wi-fi,37.65.43.81,57984,462157,766,38070,1713,0,0,0,1729,52005018,201553,291823488
wi-fi,37.65.43.81,55440,444610,1023,38070,1722,0,0,1,1735,54245041,204669,296334008
wi-fi,37.65.43.81,57044,455062,638,38070,1712,0,0,0,1740,53151860,207828,300909688
wi-fi,37.65.43.81,50915,406630,351,38070,1723,0,0,1,1745,59653483,211193,305780760
wi-fi,37.65.43.81,53475,427975,526,38070,1744,0,0,1,1750,56840703,214547,310637352
wi-fi,37.65.43.81,52505,419251,353,38070,1739,0,0,0,1755,58189256,217656,315140632
wi-fi,37.65.43.81,53999,431727,397,38070,1759,0,0,0,1759,56636502,220921,319868352
wi-fi,37.65.43.81,42373,341257,751,38070,1765,0,0,2,1763,71814235,223521,323630256
wi-fi,37.65.43.81,52160,415290,866,38070,1766,0,0,1,1768,59179403,226798,328376800
wi-fi,37.65.43.81,52339,421210,1040,38070,1736,0,0,0,1772,58479660,230034,333063976
wi-fi,37.65.43.81,56264,450318,536,38070,1772,0,0,0,1776,54823082,233133,337551328
wi-fi,37.65.43.81,52838,426791,546,38070,1751,0,0,0,1779,57942935,236364,342229816
wi-fi,37.65.43.81,54215,432919,373,38070,1781,0,0,0,1783,57251186,239709,347073376
wi-fi,37.65.43.81,62528,497104,1474,38070,1771,0,0,0,1786,49942927,242599,351258096
wi-fi,37.65.43.81,56610,454459,1071,38070,1771,0,0,1,1790,54751764,245954,356114688
