label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2514,19279,379,200000,200003,576,196,0,0,0,763,0,763,131072,2854912,224,156826723,18446744073709551615,569449
fibre,160.217.166.30;43160;5201,2739,21215,314,200000,200003,576,230,0,0,0,763,0,763,131072,2854912,237,150786292,18446744073709551615,577787
fibre,160.217.166.30;43160;5201,2754,21655,414,200000,200003,576,241,0,0,0,763,0,763,131072,2854912,257,160188556,18446744073709551615,586148
fibre,160.217.166.30;43160;5201,2209,17468,349,200000,200003,576,196,0,0,0,810,0,810,131072,2854912,201,155313579,18446744073709551615,594519
fibre,160.217.166.30;43160;5201,2447,18840,368,200000,200003,576,195,0,0,0,810,0,810,131072,2854912,227,162630318,18446744073709551615,602938
fibre,160.217.166.30;43160;5201,2556,20846,307,200000,200003,576,197,0,0,0,810,0,810,131072,2854912,238,154102887,18446744073709551615,611308
fibre,160.217.166.30;43160;5201,2187,16014,660,200000,200003,576,184,0,0,0,866,0,866,131072,2854912,191,160986736,18446744073709551615,619647
fibre,160.217.166.30;43160;5201,2161,17169,287,200000,200003,576,196,0,0,0,866,0,866,131072,2854912,206,161949187,18446744073709551615,628007
fibre,160.217.166.30;43160;5201,2409,18938,468,200000,200003,576,195,0,0,0,866,0,866,131072,2854912,227,161788742,18446744073709551615,636380
fibre,160.217.166.30;43160;5201,2805,21582,366,200000,200003,576,230,0,0,0,866,0,866,131072,2854912,246,153850875,18446744073709551615,644717
fibre,160.217.166.30;43160;5201,2939,23068,326,200000,200003,576,243,0,0,0,866,0,866,131072,2854912,265,155057395,18446744073709551615,653076
fibre,160.217.166.30;43160;5201,3561,27946,1085,200000,200003,576,225,0,0,0,866,0,866,131072,2854912,269,129923939,18446744073709551615,654290
fibre,160.217.166.30;43160;5201,2195,17049,328,200000,200003,576,196,0,0,0,917,0,917,131072,2854912,206,163089072,18446744073709551615,662691
fibre,160.217.166.30;43160;5201,2484,18831,375,200000,200003,576,184,0,0,0,917,0,917,131072,2854912,228,163424820,18446744073709551615,671029
fibre,160.217.166.30;43160;5201,2839,21493,442,200000,200003,576,230,0,0,0,917,0,917,131072,2854912,250,156999953,18446744073709551615,679401
fibre,160.217.166.30;43160;5201,2962,23212,366,200000,200003,576,242,0,0,0,917,0,917,131072,2854912,265,154095467,18446744073709551615,687761
fibre,160.217.166.30;43160;5201,2173,16775,314,200000,200003,576,184,0,0,0,968,0,968,131072,2854912,195,156902056,18446744073709551615,696145
fibre,160.217.166.30;43160;5201,2013,17803,546,200000,200003,576,184,0,0,0,968,0,968,131072,2854912,220,166796157,18446744073709551615,704379
fibre,160.217.166.30;43160;5201,2753,20900,498,200000,200003,576,230,0,0,0,968,0,968,131072,2854912,239,154350545,18446744073709551615,712751
fibre,160.217.166.30;43160;5201,2822,21882,304,200000,200003,576,242,0,0,0,968,0,968,131072,2854912,258,159143624,18446744073709551615,721111
fibre,160.217.166.30;43160;5201,2889,23051,263,200000,200003,576,242,0,0,0,968,0,968,131072,2854912,271,158685072,18446744073709551615,729483
fibre,160.217.166.30;43160;5201,1990,17211,429,200000,200003,576,167,0,0,0,1030,0,1030,131072,2854912,210,164690953,18446744073709551615,737838
fibre,160.217.166.30;43160;5201,2638,20608,510,200000,200003,576,195,0,0,0,1030,0,1030,131072,2854912,233,152607763,18446744073709551615,746182
fibre,160.217.166.30;43160;5201,2800,21591,359,200000,200003,576,230,0,0,0,1030,0,1030,131072,2854912,247,154411893,18446744073709551615,754519
fibre,160.217.166.30;43160;5201,2185,17060,351,200000,200003,576,184,0,0,0,1076,0,1076,131072,2854912,197,155863259,18446744073709551615,762891
fibre,160.217.166.30;43160;5201,2423,18945,392,200000,200003,576,195,0,0,0,1076,0,1076,131072,2854912,214,152466951,18446744073709551615,771160
fibre,160.217.166.30;43160;5201,2730,21243,241,200000,200003,576,230,0,0,0,1076,0,1076,131072,2854912,238,151222934,18446744073709551615,779497
